genes	phenotypes
BSPH1	HP:0006510
BSPH1	HP:0003193
BSPH1	HP:0032262
CASP16	HP:0001402
CASP16	HP:0002860
CCDC114	HP:0003128
CCDC114	HP:0001878
CCDC114	HP:0001997
CCDC114	HP:0001370
CCDC114	HP:0001402
CCDC114	HP:0005584
CCDC114	HP:0033533
CCDC114	HP:0001699
CCDC114	HP:0000520
CCDC114	HP:0008222
CCDC114	HP:0008682
CCDC114	HP:0004448
CCDC114	HP:0006554
CCDC114	HP:0011499
CCDC114	HP:0001973
CCDC114	HP:0004756
CCDC151	HP:0012028
CCDC151	HP:0001402
CCDC151	HP:0001402
CCDC151	HP:0005584
CCDC151	HP:0032282
CCDC151	HP:0001019
CCDC151	HP:0100651
CCDC151	HP:0005978
CCDC151	HP:0001627
CCDC151	HP:0002564
CCDC151	HP:0001627
CCDC151	HP:0002564
CCDC151	HP:0008222
CCDC151	HP:0003251
CCDC151	HP:0003251
CCDC151	HP:0006536
CCDC151	HP:0012539
CCDC151	HP:0012539
CCDC151	HP:0030065
CCDC151	HP:0012743
CCDC151	HP:0012743
CCDC151	HP:0000823
CCDC151	HP:0006510
CCDC151	HP:0004756
CCDC151	HP:0012122
CCDC168	HP:0005112
CCDC168	HP:0011675
CCDC168	HP:0001402
CCDC168	HP:0025318
CCDC168	HP:0002860
CCDC168	HP:0005978
CCDC168	HP:0001627
CCDC168	HP:0002564
CCDC168	HP:0008222
CCDC168	HP:0008682
CCDC168	HP:0002249
CCDC168	HP:0005293
CCDC169-SOHLH2	HP:0011675
CCDC169-SOHLH2	HP:0005978
CCDC169-SOHLH2	HP:0003251
CCDC169-SOHLH2	HP:0012743
CCDC169-SOHLH2	HP:0004756
CCDC172	HP:0003128
CCDC172	HP:0033690
CCDC172	HP:0001915
CCDC172	HP:0001915
CCDC172	HP:0001878
CCDC172	HP:0001890
CCDC172	HP:0001891
CCDC172	HP:0001972
CCDC172	HP:0005112
CCDC172	HP:0011675
CCDC172	HP:0011675
CCDC172	HP:0011675
CCDC172	HP:0011675
CCDC172	HP:0001370
CCDC172	HP:0001402
CCDC172	HP:0001402
CCDC172	HP:0030358
CCDC172	HP:0025318
CCDC172	HP:0002860
CCDC172	HP:0001644
CCDC172	HP:0001639
CCDC172	HP:0001406
CCDC172	HP:0100279
CCDC172	HP:0009800
CCDC172	HP:0009800
CCDC172	HP:0100651
CCDC172	HP:0005978
CCDC172	HP:0005978
CCDC172	HP:0005978
CCDC172	HP:0030016
CCDC172	HP:0100568
CCDC172	HP:0032147
CCDC172	HP:0000407
CCDC172	HP:0001627
CCDC172	HP:0002564
CCDC172	HP:0001627
CCDC172	HP:0002564
CCDC172	HP:0001627
CCDC172	HP:0002564
CCDC172	HP:0001627
CCDC172	HP:0002564
CCDC172	HP:0001631
CCDC172	HP:0001629
CCDC172	HP:0100247
CCDC172	HP:0001712
CCDC172	HP:0001712
CCDC172	HP:0008222
CCDC172	HP:0008222
CCDC172	HP:0008222
CCDC172	HP:0008222
CCDC172	HP:0008222
CCDC172	HP:0008222
CCDC172	HP:0003251
CCDC172	HP:0003251
CCDC172	HP:0003251
CCDC172	HP:0003251
CCDC172	HP:0003251
CCDC172	HP:0003251
CCDC172	HP:0002326
CCDC172	HP:0004808
CCDC172	HP:0004808
CCDC172	HP:0004448
CCDC172	HP:0006554
CCDC172	HP:0002725
CCDC172	HP:0012539
CCDC172	HP:0012539
CCDC172	HP:0002249
CCDC172	HP:0001257
CCDC172	HP:0030833
CCDC172	HP:0006934
CCDC172	HP:0000639
CCDC172	HP:0000639
CCDC172	HP:0012743
CCDC172	HP:0004950
CCDC172	HP:0012075
CCDC172	HP:0000823
CCDC172	HP:0000823
CCDC172	HP:0000823
